gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,num_services,is_new_customer,CLV,avg_service_cost,high_risk_flag,churn_probability,segment,segment_names
0,0,0,0,16,1,0,0,0,0,0,0,0,0,2,0,3,18.95,326.8,0,1,1,0,303.2,9.475,0,0.012895388092353086,2,Fence Sitters
0,0,1,0,58,1,1,2,0,0,1,0,1,1,1,0,3,100.35,5681.1,0,3,4,0,5820.299999999999,20.07,0,0.30815734911805104,0,Champions
0,0,0,0,49,1,1,2,0,1,1,0,1,1,0,1,2,103.7,5036.3,1,3,5,0,5081.3,17.283333333333335,0,0.7438095681213668,0,Champions
0,0,0,0,25,1,0,2,1,0,1,1,1,1,0,1,0,105.5,2686.05,0,2,6,0,2637.5,15.071428571428571,0,0.5220430958629435,0,Champions
1,0,1,1,69,1,1,2,1,1,1,1,1,1,2,0,3,113.25,7895.15,0,3,7,0,7814.25,14.15625,0,0.08058457759519831,0,Champions
1,0,0,0,52,1,0,0,0,0,0,0,0,0,1,0,1,20.65,1022.95,0,3,1,0,1073.8,10.325,0,0.039178228063464375,2,Fence Sitters
0,0,0,1,71,1,1,2,1,0,1,0,1,1,2,0,2,106.7,7382.25,0,3,5,0,7575.7,17.783333333333335,0,0.16874904372420554,0,Champions
1,0,1,1,10,1,0,1,0,0,1,1,0,0,0,0,3,55.2,528.35,1,0,3,1,552.0,13.8,1,0.10309301041978601,2,Fence Sitters
1,0,0,0,21,1,0,2,0,1,1,0,0,1,0,1,0,90.05,1862.9,0,1,4,0,1891.05,18.009999999999998,0,0.6474397943826184,1,At Risk
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,39.65,39.65,1,0,2,1,39.65,13.216666666666669,1,0.9309239804918606,1,At Risk
0,0,1,0,12,1,0,0,0,0,0,0,0,0,1,0,2,19.8,202.25,0,0,1,1,237.6,9.9,0,0.06653580792502214,2,Fence Sitters
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.15,20.15,1,0,1,1,20.15,10.075,1,0.6370578049385306,1,At Risk
1,0,1,0,58,1,1,1,0,1,0,1,0,0,2,1,3,59.9,3505.1,0,3,3,0,3474.2,14.975,0,0.02151231384024755,0,Champions
0,0,1,1,49,1,0,1,1,1,0,1,0,0,0,0,3,59.6,2970.3,0,3,4,0,2920.4,11.92,0,0.06296302410192121,0,Champions
1,0,0,0,30,1,0,1,1,1,0,0,0,0,0,1,2,55.3,1530.6,0,2,3,0,1659.0,13.825,0,0.16906779359223256,2,Fence Sitters
0,0,1,1,47,1,1,2,0,1,0,0,1,1,0,1,0,99.35,4749.15,1,2,4,0,4669.45,19.87,0,0.6738018848009929,0,Champions
0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,30.2,30.2,1,0,1,1,30.2,15.1,1,0.6355833988401947,1,At Risk
0,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,3,90.25,6369.45,0,3,7,0,6498.0,11.28125,0,0.007995799797401679,0,Champions
1,0,0,1,17,1,0,1,0,0,0,0,1,1,0,1,1,64.7,1093.1,1,1,3,0,1099.9,16.175,0,0.367652146448667,1,At Risk
1,1,1,0,71,1,1,2,1,1,1,1,0,0,2,1,3,96.35,6766.95,0,3,5,0,6840.849999999999,16.058333333333334,0,0.03239627371565073,0,Champions
0,1,1,0,2,1,0,2,0,0,1,0,1,1,0,1,3,95.5,181.65,0,0,4,1,191.0,19.1,1,0.7547848427600694,1,At Risk
1,0,1,1,27,1,0,1,1,1,1,1,0,0,1,0,1,66.15,1874.45,0,2,5,0,1786.0500000000002,11.025,0,0.06002791766211174,0,Champions
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,20.2,20.2,0,0,1,1,20.2,10.1,1,0.5394905826326049,1,At Risk
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,45.25,45.25,0,0,1,1,45.25,22.625,1,0.7907332311812505,1,At Risk
1,0,1,1,72,1,1,2,1,1,0,1,1,0,2,0,2,99.9,7251.7,0,3,5,0,7192.8,16.650000000000002,0,0.019470022642228902,0,Champions
0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,1,0,69.7,316.9,1,0,1,1,348.5,34.85,1,0.8715693267050927,1,At Risk
1,0,0,0,46,1,0,2,0,0,1,0,0,0,0,1,3,74.8,3548.3,0,2,2,0,3440.8,24.933333333333334,0,0.3421769988602871,0,Champions
0,0,0,0,34,1,1,2,0,1,1,0,1,1,0,1,0,106.35,3549.25,1,2,5,0,3615.9,17.724999999999998,0,0.8210076601171524,1,At Risk
1,0,0,0,11,1,1,2,0,0,1,0,1,1,0,1,2,97.85,1105.4,1,0,4,1,1076.35,19.57,1,0.8806221329253462,1,At Risk
0,0,1,1,10,1,0,1,0,1,0,0,0,0,1,0,1,49.55,475.7,0,0,2,1,495.5,16.516666666666666,0,0.05193245302889866,2,Fence Sitters
1,0,1,1,70,1,1,1,1,1,0,0,1,0,2,1,3,69.2,4872.35,0,3,4,0,4844.0,13.84,0,0.01930736975528484,0,Champions
1,0,1,1,17,1,0,0,0,0,0,0,0,0,1,0,1,20.75,418.25,0,1,1,0,352.75,10.375,0,0.03347943317255694,2,Fence Sitters
1,0,0,0,63,1,1,1,1,1,1,1,1,0,2,1,3,79.85,4861.45,0,3,6,0,5030.549999999999,11.407142857142857,0,0.01885097836051977,0,Champions
1,0,1,0,13,1,1,1,1,1,0,1,1,0,0,1,0,76.2,981.45,0,1,5,0,990.6,12.7,0,0.19429584220249538,0,Champions
1,0,0,0,49,1,1,2,0,0,0,0,0,1,0,1,0,84.5,3906.7,0,3,2,0,4140.5,28.166666666666668,0,0.7231873489436417,1,At Risk
0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,49.25,97.0,0,0,2,1,98.5,16.416666666666668,1,0.5585225128062363,1,At Risk
1,0,0,0,2,1,0,2,0,0,0,0,1,0,0,1,0,80.65,144.15,1,0,2,1,161.3,26.883333333333336,1,0.8829326414082748,1,At Risk
0,0,0,0,52,1,1,1,1,0,0,1,1,1,2,1,3,79.75,4217.8,0,3,5,0,4147.0,13.291666666666666,0,0.04222528080570801,0,Champions
1,0,1,1,69,1,1,1,1,0,1,1,0,0,2,1,3,64.15,4254.1,0,3,4,0,4426.35,12.830000000000002,0,0.013998062625585629,0,Champions
1,1,0,0,43,1,1,2,0,1,0,0,1,0,0,1,0,90.25,3838.75,0,2,3,0,3880.75,22.5625,0,0.45752262030957397,0,Champions
1,0,0,0,15,1,0,2,1,1,0,0,1,1,0,1,3,99.1,1426.4,1,1,5,0,1486.5,16.516666666666666,0,0.6037397456399566,1,At Risk
1,1,1,0,25,1,1,1,1,0,0,1,1,0,0,1,3,69.5,1752.65,0,2,4,0,1737.5,13.9,0,0.0785859730793319,0,Champions
1,1,1,0,8,1,1,2,0,1,0,0,0,0,0,1,3,80.65,633.3,1,0,2,1,645.2,26.883333333333336,1,0.6388816260321744,1,At Risk
1,1,1,1,60,1,0,1,1,1,1,1,0,1,1,1,3,74.85,4456.35,0,3,6,0,4491.0,10.69285714285714,0,0.08591854954556595,0,Champions
0,1,0,0,18,1,1,2,0,0,0,0,1,1,0,1,0,95.45,1752.55,1,1,3,0,1718.1,23.8625,0,0.8292643684122118,1,At Risk
1,0,1,1,63,1,1,2,1,0,0,0,1,1,1,1,3,99.65,6311.2,0,3,4,0,6277.950000000001,19.93,0,0.14007944096583705,0,Champions
0,1,1,1,66,1,1,2,0,1,1,1,1,1,1,1,0,108.45,7076.35,0,3,6,0,7157.7,15.492857142857144,0,0.2067289878616809,0,Champions
1,0,1,1,34,1,1,0,0,0,0,0,0,0,2,0,3,24.95,894.3,0,2,1,0,848.3,12.475,0,0.019669183713086538,2,Fence Sitters
1,0,0,0,72,1,1,2,0,0,1,1,1,1,2,1,3,107.5,7853.7,0,3,5,0,7740.0,17.916666666666668,0,0.16357541189461375,0,Champions
1,0,1,0,47,1,1,2,0,0,1,0,1,1,0,1,0,100.5,4707.1,0,2,4,0,4723.5,20.1,0,0.6008777388391462,0,Champions
0,0,0,0,60,1,1,2,0,1,0,0,1,0,0,1,2,89.9,5450.7,0,3,3,0,5394.0,22.475,0,0.6655405713425125,0,Champions
0,0,1,0,72,0,0,1,1,1,1,0,0,0,2,0,2,42.1,2962.0,0,3,3,0,3031.2000000000003,10.525,0,0.01362285616814701,2,Fence Sitters
1,0,1,1,18,1,0,1,0,0,1,1,0,0,1,1,3,54.4,957.1,0,1,3,0,979.2,13.6,0,0.0591816630416408,2,Fence Sitters
1,0,0,0,9,1,1,2,0,0,0,0,1,1,0,0,0,94.4,857.25,1,0,3,1,849.6,23.6,1,0.8970044468380357,1,At Risk
1,0,0,0,3,1,0,1,0,1,0,1,1,1,0,1,0,75.3,244.1,0,0,5,1,225.9,12.55,1,0.24173266938066482,0,Champions
0,0,1,0,47,1,1,2,0,1,0,0,0,0,1,1,0,78.9,3650.35,0,2,2,0,3708.3,26.3,0,0.1891666468543744,0,Champions
1,0,0,0,31,1,0,1,0,1,1,1,1,1,2,0,1,79.2,2497.2,0,2,6,0,2455.2000000000003,11.314285714285717,0,0.034741772036851484,0,Champions
1,0,1,1,50,1,0,0,0,0,0,0,0,0,2,0,2,20.15,930.9,0,3,1,0,1007.5,10.075,0,0.012005495554572072,2,Fence Sitters
0,0,0,0,10,1,0,2,1,0,1,0,0,0,0,1,1,79.85,887.35,0,0,3,1,798.5,19.9625,1,0.4588407945803788,1,At Risk
0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,49.05,49.05,0,0,2,1,49.05,16.349999999999998,1,0.5154498331527695,1,At Risk
1,0,1,1,52,1,0,0,0,0,0,0,0,0,1,1,0,20.4,1090.65,0,3,1,0,1060.8,10.2,0,0.028950589769294897,2,Fence Sitters
0,1,1,1,64,1,1,2,1,0,1,1,1,1,2,1,2,111.6,7099.0,0,3,6,0,7142.4,15.94285714285714,0,0.05619283108634663,0,Champions
0,0,1,1,62,1,1,0,0,0,0,0,0,0,2,1,2,24.25,1424.6,0,3,1,0,1503.5,12.125,0,0.01002000358780275,2,Fence Sitters
1,0,0,1,3,1,0,1,1,0,0,1,0,1,0,1,2,64.5,177.4,0,0,4,1,193.5,12.9,1,0.17424130405012883,1,At Risk
1,1,0,0,56,1,1,2,1,1,1,0,1,1,1,0,0,110.5,6139.5,0,3,6,0,6188.0,15.785714285714286,0,0.24021894508182068,0,Champions
1,0,0,0,46,1,0,1,0,0,0,0,0,1,1,0,3,55.65,2688.85,0,2,2,0,2559.9,18.55,0,0.08691180611498109,2,Fence Sitters
1,0,1,1,8,1,0,1,1,1,0,0,0,0,0,0,1,54.65,482.25,0,0,3,1,437.2,13.6625,1,0.06026425105406091,2,Fence Sitters
0,1,0,0,30,1,0,1,1,1,0,0,1,1,0,1,0,74.75,2111.3,0,2,5,0,2242.5,12.458333333333334,0,0.28567081175912196,0,Champions
1,0,1,1,45,1,1,0,0,0,0,0,0,0,1,1,3,25.9,1216.6,0,2,1,0,1165.5,12.95,0,0.046705762777012265,2,Fence Sitters
1,0,0,1,1,1,0,2,0,0,0,0,1,0,0,1,0,79.35,79.35,1,0,2,1,79.35,26.45,1,0.9370950395457661,1,At Risk
1,0,1,1,11,0,0,1,1,0,0,0,1,1,0,0,0,50.55,565.35,0,0,3,1,556.05,12.6375,1,0.20317681779502023,2,Fence Sitters
1,0,1,0,7,1,0,2,0,0,1,0,0,0,0,1,2,75.15,496.9,1,0,2,1,526.0500000000001,25.05,1,0.6992992765473676,1,At Risk
1,0,0,0,42,1,0,2,0,1,1,1,1,1,0,1,2,103.8,4327.5,0,2,6,0,4359.599999999999,14.828571428571427,0,0.297367751867739,0,Champions
1,0,1,0,49,1,0,0,0,0,0,0,0,0,2,1,2,20.15,973.35,0,3,1,0,987.35,10.075,0,0.012332019790152806,2,Fence Sitters
0,0,0,0,9,1,1,2,0,1,0,0,1,1,0,1,3,99.3,918.75,0,0,4,1,893.6999999999999,19.86,1,0.8438449771279973,1,At Risk
1,0,1,0,35,1,0,1,1,0,0,0,1,0,1,1,2,62.15,2215.45,0,2,3,0,2175.25,15.5375,0,0.06102039654470455,2,Fence Sitters
1,0,1,1,48,1,0,0,0,0,0,0,0,0,2,0,2,20.65,1057.0,0,2,1,0,991.2,10.325,0,0.014160450481295671,2,Fence Sitters
1,0,1,1,46,1,0,0,0,0,0,0,0,0,2,1,1,19.95,927.1,0,2,1,0,917.7,9.975,0,0.014085405955385771,2,Fence Sitters
0,0,1,0,29,0,0,1,0,0,0,0,1,0,0,0,1,33.75,1009.25,0,2,1,0,978.75,16.875,0,0.7674756025554198,1,At Risk
0,0,1,1,30,1,0,2,0,1,1,0,0,0,0,0,2,82.05,2570.2,0,2,3,0,2461.5,20.5125,0,0.4434055111465734,1,At Risk
0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,74.7,74.7,0,0,2,1,74.7,24.9,1,0.6624003813771213,1,At Risk
0,0,1,1,66,1,1,1,1,0,1,1,1,1,2,1,1,84.0,5714.25,0,3,6,0,5544.0,12.0,0,0.024066013533098098,0,Champions
1,0,0,0,65,1,1,2,1,1,1,0,1,1,0,1,3,111.05,7107.0,0,3,6,0,7218.25,15.864285714285714,0,0.21460733533786658,0,Champions
0,0,0,0,72,1,1,2,0,1,1,0,1,1,2,1,2,100.9,7459.05,0,3,5,0,7264.8,16.816666666666666,0,0.1867974002470298,0,Champions
1,0,0,0,12,1,1,2,1,0,0,0,0,0,0,1,0,78.95,927.35,1,0,2,1,947.4,26.316666666666663,1,0.4175251491429552,1,At Risk
0,0,1,1,71,1,1,1,1,1,0,1,0,0,1,1,3,66.85,4748.7,0,3,4,0,4746.349999999999,13.37,0,0.021074389308691113,0,Champions
0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,21.05,113.85,1,0,1,1,105.25,10.525,1,0.3121961406949371,2,Fence Sitters
0,0,0,0,52,1,0,0,0,0,0,0,0,0,2,0,2,21.0,1107.2,0,3,1,0,1092.0,10.5,0,0.019593812059427534,2,Fence Sitters
1,1,1,0,25,1,0,2,0,1,1,0,1,1,0,1,0,98.5,2514.5,1,2,5,0,2462.5,16.416666666666668,0,0.6130244299967544,1,At Risk
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.2,20.2,0,0,1,1,20.2,10.1,1,0.6370578049385306,1,At Risk
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19.45,19.45,0,0,1,1,19.45,9.725,1,0.5075443234056775,2,Fence Sitters
0,0,0,0,38,1,1,2,0,0,1,1,1,0,1,0,2,95.0,3605.6,0,2,4,0,3610.0,19.0,0,0.27630550853374275,0,Champions
1,1,1,0,66,0,0,1,0,1,1,0,1,0,1,0,2,45.55,3027.25,0,3,3,0,3006.3,11.3875,0,0.08526654562580077,2,Fence Sitters
0,0,1,0,68,1,1,2,0,1,1,1,1,1,2,1,2,110.0,7611.85,1,3,6,0,7480.0,15.714285714285714,0,0.4164872916627687,0,Champions
0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,24.3,100.2,0,0,0,1,121.5,24.3,1,0.7626568893213594,1,At Risk
1,0,1,1,72,1,1,2,1,1,0,0,1,1,1,1,0,104.15,7303.05,0,3,5,0,7498.8,17.358333333333334,0,0.0796983591409213,0,Champions
1,0,0,0,32,0,0,1,1,0,0,0,0,0,1,0,1,30.15,927.65,0,2,1,0,964.8,15.075,0,0.12065351924049363,2,Fence Sitters
0,0,0,0,43,1,1,2,0,0,0,0,1,1,1,0,1,94.35,3921.3,0,2,3,0,4057.05,23.5875,0,0.6338473300698205,1,At Risk
0,0,1,1,72,1,0,0,0,0,0,0,0,0,2,0,3,19.4,1363.25,0,3,1,0,1396.8,9.7,0,0.004336098443005703,2,Fence Sitters
0,0,1,0,55,1,1,2,1,1,0,0,1,0,0,1,0,96.75,5238.9,1,3,4,0,5321.25,19.35,0,0.40161573993518745,0,Champions
1,0,0,0,52,1,0,1,1,0,1,1,0,0,1,0,3,57.95,3042.25,0,3,4,0,3013.4,11.59,0,0.053655839940046926,0,Champions
1,0,0,0,43,1,0,2,0,1,1,0,1,0,0,1,0,91.65,3954.1,0,2,4,0,3940.95,18.33,0,0.5936054774308609,0,Champions
1,1,1,0,37,1,1,2,0,0,0,0,0,0,0,1,0,76.5,2868.15,1,2,1,0,2830.5,38.25,0,0.5953191814223435,1,At Risk
1,0,1,1,64,0,0,1,0,1,0,1,1,1,2,1,0,54.6,3423.5,0,3,4,0,3494.4,10.92,0,0.03119694922740971,0,Champions
0,0,1,1,3,1,0,2,1,1,0,0,1,0,0,0,0,89.85,248.4,0,0,4,1,269.54999999999995,17.97,1,0.3762327180410221,1,At Risk
1,0,0,0,36,0,0,1,1,0,0,0,0,0,2,0,2,31.05,1126.35,0,2,1,0,1117.8,15.525,0,0.06799649513171821,2,Fence Sitters
1,0,1,1,10,1,1,2,1,0,0,0,1,1,0,1,0,100.25,1064.65,1,0,4,1,1002.5,20.05,1,0.6671118308354992,1,At Risk
1,0,0,0,41,1,0,0,0,0,0,0,0,0,2,0,1,20.65,835.15,0,2,1,0,846.65,10.325,0,0.020083713775767596,2,Fence Sitters
0,0,1,1,27,1,1,2,0,1,0,1,0,0,0,1,3,85.2,2151.6,0,2,3,0,2300.4,21.3,0,0.1974079968422787,0,Champions
1,0,1,1,56,1,1,2,0,0,1,0,1,1,1,1,3,99.8,5515.45,0,3,4,0,5588.8,19.96,0,0.24492704305590396,0,Champions
1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,20.7,112.75,0,0,1,1,124.2,10.35,1,0.25082054690980904,2,Fence Sitters
0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,74.4,229.55,1,0,1,1,223.2,37.2,1,0.9168940381416248,1,At Risk
1,0,1,1,7,1,0,1,1,0,0,0,0,0,0,0,1,50.7,350.35,0,0,2,1,354.90000000000003,16.900000000000002,1,0.14300754679599958,2,Fence Sitters
1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,20.85,62.9,0,0,1,1,83.4,10.425,1,0.1765522561857985,2,Fence Sitters
0,0,0,0,33,1,0,2,1,0,0,1,1,0,2,1,0,88.95,3027.65,0,2,4,0,2935.35,17.79,0,0.07384503177989875,0,Champions
1,1,0,0,27,1,1,2,0,0,1,0,0,0,0,1,0,78.05,2135.5,1,2,2,0,2107.35,26.016666666666666,0,0.4470526381843291,1,At Risk
0,0,1,0,72,1,1,0,0,0,0,0,0,0,2,1,2,23.55,1723.95,0,3,1,0,1695.6,11.775,0,0.011190454782251762,2,Fence Sitters
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,19.75,19.75,0,0,1,1,19.75,9.875,1,0.6301773548820512,1,At Risk
0,1,0,0,71,0,0,1,1,1,0,0,1,1,1,1,0,56.45,3985.35,0,3,4,0,4007.95,11.29,0,0.14031804975224005,0,Champions
1,0,0,0,13,1,1,2,0,0,0,0,0,1,0,1,0,85.95,1215.65,0,1,2,0,1117.35,28.65,0,0.8515321410289303,1,At Risk
1,0,1,1,25,0,0,1,1,1,1,0,1,1,0,1,3,58.6,1502.65,1,2,5,0,1465.0,9.766666666666667,0,0.19714843150090156,0,Champions
0,0,0,0,67,1,0,1,0,0,0,1,0,0,2,0,2,50.55,3260.1,0,3,2,0,3386.85,16.849999999999998,0,0.05596873469846539,2,Fence Sitters
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,35.45,35.45,1,0,1,1,35.45,17.725,1,0.937650208134543,1,At Risk
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,44.35,81.25,1,0,1,1,88.7,22.175,1,0.8342223899887699,1,At Risk
1,0,0,0,43,1,1,0,0,0,0,0,0,0,2,1,3,25.7,1188.2,0,2,1,0,1105.1,12.85,0,0.031894864182971716,2,Fence Sitters
1,0,0,0,23,1,0,2,1,0,0,0,0,0,0,1,2,75.0,1778.5,0,1,2,0,1725.0,25.0,0,0.3791872483162598,1,At Risk
1,0,1,1,64,1,0,0,0,0,0,0,0,0,2,0,1,20.2,1277.75,0,3,1,0,1292.8,10.1,0,0.008805271174324988,2,Fence Sitters
0,0,0,1,57,1,0,0,0,0,0,0,0,0,2,1,1,19.6,1170.55,0,3,1,0,1117.2,9.8,0,0.017611535140261408,2,Fence Sitters
1,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,70.45,70.45,1,0,1,1,70.45,35.225,1,0.8363561702342854,1,At Risk
1,1,1,1,72,1,1,1,1,1,1,1,1,1,2,1,3,88.05,6425.65,0,3,7,0,6339.599999999999,11.00625,0,0.008962875815443616,0,Champions
1,0,0,0,8,1,1,1,1,0,0,1,0,1,0,0,0,71.15,563.65,1,0,4,1,569.2,14.23,1,0.27706812966747063,1,At Risk
1,0,1,0,61,1,1,2,0,1,0,0,1,1,2,1,2,101.05,5971.25,0,3,4,0,6164.05,20.21,0,0.1090548980338543,0,Champions
0,0,0,0,64,1,1,2,1,1,0,0,0,0,1,1,3,84.3,5289.05,0,3,3,0,5395.2,21.075,0,0.12448590920644446,0,Champions
0,1,1,0,71,1,1,0,0,0,0,0,0,0,2,0,2,23.95,1756.2,0,3,1,0,1700.45,11.975,0,0.010212839435768166,2,Fence Sitters
1,0,1,1,65,1,1,2,1,1,0,1,1,0,2,1,3,99.05,6416.7,0,3,5,0,6438.25,16.508333333333333,0,0.04013122869030216,0,Champions
0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,19.6,61.35,0,0,1,1,58.8,9.8,0,0.07648361898809884,2,Fence Sitters
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,45.65,45.65,1,0,1,1,45.65,22.825,1,0.8705076100674748,1,At Risk
0,0,0,1,30,1,0,1,0,1,1,0,1,0,1,0,3,64.5,1929.95,0,2,4,0,1935.0,12.9,0,0.08137749008885044,0,Champions
0,0,1,1,15,1,0,1,0,1,1,1,0,1,0,1,1,69.5,1071.4,0,1,5,0,1042.5,11.583333333333334,0,0.11433253394597831,0,Champions
1,0,1,1,8,1,0,1,0,0,0,1,1,1,0,1,0,68.55,564.35,0,0,4,1,548.4,13.71,1,0.1635809822423734,1,At Risk
0,0,0,0,7,1,1,2,0,0,0,0,1,1,0,0,1,95.0,655.5,1,0,3,1,665.0,23.75,1,0.9226978188732469,1,At Risk
1,0,1,1,70,1,1,2,1,1,1,0,1,1,1,1,3,108.15,7930.55,0,3,6,0,7570.5,15.45,0,0.11485124610593352,0,Champions
0,0,1,1,62,1,0,1,1,1,1,1,1,1,2,0,0,86.1,5215.25,0,3,7,0,5338.2,10.7625,0,0.020258042235620034,0,Champions
1,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,1,19.7,113.5,0,0,1,1,118.2,9.85,1,0.13521071051981937,2,Fence Sitters
1,0,1,1,14,1,0,2,0,0,0,0,0,1,0,1,2,80.9,1152.8,0,1,2,0,1132.6,26.96666666666667,0,0.5550871479633129,1,At Risk
1,0,0,0,22,1,1,2,0,0,0,0,1,0,0,1,2,84.15,1821.95,0,1,2,0,1851.3,28.05,0,0.7294881863329218,1,At Risk
0,0,1,1,22,1,0,0,0,0,0,0,0,0,1,0,1,20.15,419.9,0,1,1,0,443.3,10.075,0,0.029884045267841847,2,Fence Sitters
0,0,1,1,16,1,0,1,1,0,1,0,1,0,2,0,1,64.25,1024.0,0,1,4,0,1028.0,12.85,0,0.020459717806093247,0,Champions
0,0,0,0,10,1,1,0,0,0,0,0,0,0,2,0,2,25.7,251.6,0,0,1,1,257.0,12.85,0,0.04484334755010197,2,Fence Sitters
1,0,0,1,13,1,0,1,1,1,0,0,0,0,0,1,0,56.0,764.55,0,1,3,0,728.0,14.0,0,0.09789134343369403,2,Fence Sitters
1,0,1,0,20,1,1,2,1,0,0,0,0,0,0,0,0,82.4,1592.35,1,1,2,0,1648.0,27.46666666666667,0,0.4144408893124588,1,At Risk
1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,69.7,135.2,0,0,1,1,139.4,34.85,1,0.83287614084341,1,At Risk
0,0,0,0,53,1,1,1,0,1,1,1,0,1,2,1,2,73.9,3958.25,0,3,5,0,3916.7,12.316666666666668,0,0.03237491309946413,0,Champions
1,0,1,1,11,1,0,0,0,0,0,0,0,0,1,0,1,20.6,233.9,0,0,1,1,226.6,10.3,0,0.04880954998556241,2,Fence Sitters
0,0,1,0,69,1,0,0,0,0,0,0,0,0,2,0,1,19.9,1363.45,0,3,1,0,1373.1,9.95,0,0.0081240778895005,2,Fence Sitters
1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,2,70.9,273.0,1,0,1,1,283.6,35.45,1,0.7379670956429163,1,At Risk
0,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,2,89.05,6254.45,0,3,7,0,6411.599999999999,11.13125,0,0.007936898230296583,0,Champions
0,1,1,0,58,0,0,1,0,1,1,0,0,1,0,1,0,45.3,2651.2,1,3,3,0,2627.4,11.325,0,0.6159952888627525,1,At Risk
1,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,20.4,321.4,0,1,1,0,326.4,10.2,0,0.13052985769049388,2,Fence Sitters
0,0,1,0,43,1,0,2,1,0,1,1,0,0,1,1,2,84.25,3539.25,0,2,4,0,3622.75,16.85,0,0.10711630364894818,0,Champions
1,0,1,0,2,1,1,2,0,0,1,1,1,1,0,1,0,104.4,242.8,1,0,5,1,208.8,17.400000000000002,1,0.8258213589165126,1,At Risk
